0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:51 +0900] "GET /Betiepo/View/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:51 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 200 5448
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:51 +0900] "GET /Betiepo/View/css/forbottom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:52 +0900] "GET /Betiepo/img/create.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:52 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:38 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:38 +0900] "GET /Betiepo/View/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:38 +0900] "GET /Betiepo/View/css/form_top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:38 +0900] "GET /Betiepo/View/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:38 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 200 5480
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:38 +0900] "GET /Betiepo/View/css/forbottom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:39 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:39 +0900] "GET /Betiepo/img/create.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:46 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:46 +0900] "GET /Betiepo/View/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:46 +0900] "GET /Betiepo/View/css/form_top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:46 +0900] "GET /Betiepo/View/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:46 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 200 5478
